no.,component-name-2,component-symbol,CAS,MW,Tc,Pc_0,Pc,Vc_0,Vc,Zc,w
-,-,-,-,g/mol,K,MPa,bar,m^3/kmol,cm^3/mol,-,-
1,acetaldehyde,C2H4O,75-07-0,44.053,466,5.55,55.5,0.154,154,0.221,0.2907
2,acetamide,C2H5NO,60-35-5,59.067,761,6.6,66,0.215,215,0.224,0.421
3,acetic-acid,C2H4O2,64-19-7,60.052,591.95,5.786,57.86,0.177,177,0.208,0.4665
4,acetic-anhydride,C4H6O3,108-24-7,102.089,606,4,40,0.29,290,0.23,0.4535
5,acetone,C3H6O,67-64-1,58.079,508.2,4.701,47.01,0.209,209,0.233,0.3065
6,acetonitrile,C2H3N,1975-05-08,41.052,545.5,4.83,48.3,0.173,173,0.184,0.3379
7,acetylene,C2H2,74-86-2,26.037,308.3,6.138,61.38,0.112,112,0.268,0.1912
8,acrolein,C3H4O,107-02-8,56.063,506,5,50,0.197,197,0.234,0.3198
9,acrylic-acid,C3H4O2,1979-10-07,72.063,615,5.66,56.6,0.208,208,0.23,0.5383
10,acrylonitrile,C3H3N,107-13-1,53.063,535,4.48,44.8,0.212,212,0.214,0.3498
11,air,Mixture,132259-10-0,28.96,132.45,3.774,37.74,0.09147,91.47,0.313,0
12,ammonia,H3N,7664-41-7,17.031,405.65,11.28,112.8,0.07247,72.47,0.242,0.2526
13,anisole,C7H8O,100-66-3,108.138,645.6,4.25,42.5,0.337,337,0.267,0.3502
14,argon,Ar,7440-37-1,39.948,150.86,4.898,48.98,0.07459,74.59,0.291,0
15,benzamide,C7H7NO,55-21-0,121.137,824,5.05,50.5,0.346,346,0.255,0.5585
16,benzene,C6H6,71-43-2,78.112,562.05,4.895,48.95,0.256,256,0.268,0.2103
17,benzenethiol,C6H6S,108-98-5,110.177,689,4.74,47.4,0.315,315,0.261,0.2628
18,benzoic-acid,C7H6O2,65-85-0,122.121,751,4.47,44.7,0.344,344,0.246,0.6028
19,benzonitrile,C7H5N,100-47-0,103.121,699.35,4.215,42.15,0.3132,313.2,0.227,0.3662
20,benzophenone,C13H10O,119-61-9,182.218,830,3.352,33.52,0.5677,567.7,0.276,0.5019
21,benzyl-alcohol,C7H8O,100-51-6,108.138,720.15,4.374,43.74,0.382,382,0.279,0.3631
22,benzyl-ethyl-ether,C9H12O,539-30-0,136.191,662,3.11,31.1,0.442,442,0.25,0.4332
23,benzyl-mercaptan,C7H8S,100-53-8,124.203,718,4.06,40.6,0.367,367,0.25,0.3126
24,biphenyl,C12H10,92-52-4,154.208,773,3.38,33.8,0.497,497,0.261,0.4029
25,bromine,Br2,7726-95-6,159.808,584.15,10.3,103,0.135,135,0.286,0.129
26,bromobenzene,C6H5Br,108-86-1,157.008,670.15,4.519,45.19,0.324,324,0.263,0.2506
27,bromoethane,C2H5Br,74-96-4,108.965,503.8,6.23,62.3,0.215,215,0.32,0.2548
28,bromomethane,CH3Br,74-83-9,94.939,467,8,80,0.156,156,0.321,0.1922
29,"1,2-butadiene",C4H6,590-19-2,54.09,452,4.36,43.6,0.22,220,0.255,0.1659
30,"1,3-butadiene",C4H6,106-99-0,54.09,425,4.32,43.2,0.221,221,0.27,0.195
