No.,Name,component-name,component-symbol,CAS,id,C1,C2,C3,C4,C5,T[min],P[Tmin],T[max],P[Tmax]
-,-,-,-,-,-,-,-,-,-,-,K,Pa,K,Pa
1,Acetaldehyde,acetaldehyde,C2H4O,75-07-0,eq2,193.69,-8036.70,-29.50,4.3678E-02,1,150.15,3.23E-01,466,5565000
2,Acetamide,acetamide,C2H5NO,60-35-5,eq2,125.81,-12376.00,-14.59,5.0824E-06,2,353.33,3.36E+02,761,6569000
3,Acetic-acid,acetic-acid,C2H4O2,64-19-7,eq2,53.27,-6304.50,-4.30,8.8865E-18,6,289.81,1.28E+03,591.95,5739000
4,Acetic-anhydride,acetic-anhydride,C4H6O3,108-24-7,eq2,100.95,-8873.20,-11.45,6.1316E-06,2,200.15,2.20E-02,606,3970000
5,Acetone,acetone,C3H6O,67-64-1,eq2,69.006,-5599.60,-7.10,6.2237E-06,2,178.45,2.79E+00,508.2,4709000
6,Acetonitrile,acetonitrile,C2H3N,75-05-8,eq2,58.302,-5385.60,-5.50,5.3634E-06,2,229.32,1.87E+02,545.5,4852000
7,Acetylene,acetylene,C2H2,74-86-2,eq2,39.63,-2552.20,-2.78,2.3930E-16,6,192.4,1.27E+05,308.3,6106000
8,Acrolein,acrolein,C3H4O,107-02-8,eq2,138.4,-7122.70,-19.64,2.6447E-02,1,185.45,1.03E+01,506,5020000
9,Acrylic-acid,acrylic-acid,C3H4O2,79-10-7,eq2,46.745,-6587.10,-3.22,5.2253E-07,2,286.15,2.57E+02,615,5661000
10,Acrylonitrile,acrylonitrile,C3H3N,107-13-1,eq2,87.604,-6392.70,-10.10,1.0891E-05,2,189.63,3.68E+00,535,4480000
11,Air,air,Mixture,132259-10-0,eq2,21.662,-692.39,-0.39,4.7574E-03,1,59.15,5.64E+03,132.45,3793000
12,Ammonia,ammonia,H3N,7664-41-7,eq2,90.483,-4669.70,-11.61,1.7194E-02,1,195.41,6.11E+03,405.65,11300000
13,Anisole,anisole,C7H8O,100-66-3,eq2,128.06,-9307.70,-16.69,1.4919E-02,1,235.65,2.45E+00,645.6,4273000
14,Argon,argon,Ar,7440-37-1,eq2,42.127,-1093.10,-4.14,5.7254E-05,2,83.78,6.87E+04,150.86,4896000
15,Benzamide,benzamide,C7H7NO,55-21-0,eq2,85.474,-11932.00,-8.33,1.2850E-18,6,403,3.55E+02,824,5047000
16,Benzene,benzene,C6H6,71-43-2,eq2,83.107,-6486.20,-9.22,6.9844E-06,2,278.68,4.76E+03,562.05,4875000
17,Benzenethiol,benzenethiol,C6H6S,108-98-5,eq2,77.765,-8455.10,-7.74,4.3089E-18,6,258.27,7.68E+00,689,4728000
18,Benzoic-acid,benzoic-acid,C7H6O2,65-85-0,eq2,88.513,-11829.00,-8.68,2.3248E-19,6,395.45,7.96E+02,751,4469000
19,Benzonitrile,benzonitrile,C7H5N,100-47-0,eq2,138.5,-11195.00,-17.09,9.5641E-06,2,260.4,3.08E+00,699.35,4243000
