no,component-name,component-symbol,state,dHf25,dG25,source
-,-,-,-,kJ/mol,kJ/mol,-
1,Formaldehyde,CH2O,g,-115.97,-109.99,1
2,Methane,CH4,g,-74.81,-50.72,1
3,Methanol,CH4O,l,-238.73,-166.34,1
4,Methanol,CH4O,g,-200.66,-161.96,1
5,Acetylene,C2H2,g,226.88,209.24,1
6,Acetonitrile,C2H3N,l,53.17,98.93,1
7,Acetonitrile,C2H3N,g,87.92,105.67,1
8,Ethylene,C2H4,g,52.26,68.15,1
9,"1,1-Dichloroethane",C2H4Cl2,l,-160.86,-76.2,1
10,"1,1-Dichloroethane",C2H4Cl2,g,-130,-73.14,1
11,Acetaldehyde,C2H4O,g,-166.47,-133.39,1
12,Ethylene-oxide,C2H4O,l,-77.46,-11.43,1
13,Ethylene-oxide,C2H4O,g,-52.67,-13.1,1
14,Acetic-acid,C2H4O2,l,-484.41,-389.62,1
15,Acetic-acid,C2H4O2,g,-435.13,-376.94,1
16,Ethane,C2H6,g,-84.68,-32.84,1
17,Ethanol,C2H6O,l,-277.17,-174.25,1
18,Ethanol,C2H6O,g,-234.96,-168.39,1
19,Propylene,C3H6,g,20.43,62.76,1
20,Acetone,C3H6O,l,-248.28,-155.5,1
21,Acetone,C2H6O,g,-217.71,-153.15,1
22,Propylene-oxide,C3H6O,l,-120.75,-26.75,1
23,Propylene-oxide,C3H6O,g,-92.82,-25.79,1
24,Propane,C3H8,g,-103.85,-23.49,1
25,1-Propanol,C3H8O,l,-304.76,-170.78,1
26,1-Propanol,C3H8O,g,-257.7,-163.08,1
27,"1,3-Butadiene",C4H6,l,85.41,149.68,1
28,"1,3-Butadiene",C4H6,g,110.24,150.77,1
29,1-Butene,C4H8,g,-0.13,71.34,1
30,cis-2-Butene,C4H8,g,-6.99,65.9,1
31,trans-2-Butene,C4H8,g,-11.18,63.01,1
32,Ethyl-acetate,C4H8O2,l,-479.35,-332.93,1
33,Ethyl-acetate,C4H8O2,g,-443.21,-327.62,1
34,n-Butane,C4H10,l,-147.75,-15.07,1
35,n-Butane,C4H10,g,-126.23,-17.17,1
36,Isobutane,C4H10,l,-158.55,-21.98,1
37,Isobutane,C4H10,g,-134.61,-20.89,1
38,n-Butanol,C4H10O,l,-326.03,-161.19,1
39,n-Butanol,C4H10O,g,-274.61,-150.77,1
40,1-Pentene,C5H10,l,-46.72,78.25,1
41,1-Pentene,C5H10,g,-20.93,79.17,1
42,n-Pentane,C5H12,l,-173.33,-9.46,1
43,n-Pentane,C5H12,g,-146.54,-8.37,1
44,Benzene,C6H6,l,49.07,124.34,1
