no,component-name,component-symbol,state,MW,Tc,Pc,w,Zc,Vc,dHf25,dGf25
-,-,-,-,g/mol,K,bar,-,-,cm^3/mol,kJ/mol,kJ/mol
1,hydrogen,H2,g,2.016,32.97,12.93,-0.216,0.303,64.3,0,0
2,carbon-dioxide,CO2,g,44.009,304.12,73.9,0.239,0.274,93.9,-393.51,-394.6
3,water,H2O,l,18.015,647.14,220.64,0.344,0.234,57.1,-241.82,-228.7
4,carbon-monoxide,CO,g,28.01,133,35,0.066,0.295,93.2,-110.53,-137.4
5,methanol,CH4O,g,32.042,513.1,79.5,0.556,0.22,118,-200.7,-162.6
6,dimethyl-ether,C2H6O,g,46.07,400,53.3,0.2,0.285,178,-184.1,-139.04
7,nitrogen,N2,g,28.014,126.21,33.9,0.039,0.29,89.8,0,0
8,methane,CH4,g,16.043,190,45.99,0.011,0.289,99.2,-74.9,-50.83
9,ethylene,C2H4,g,28.054,280,50.41,0.087,0.282,130.4,52.32,68.17
10,propylene,C3H6,g,42.081,365,46.2,0.137,0.276,181,20.4,62.76
11,propane,C3H8,g,44.1,370,42.57,0.149,0.281,203,-103.9,-23.5
12,butane,C4H10,g,58.12,426.3,38,0.197,0.273,255,-126.2,-17.2
13,acetylene,C2H2,g,26.04,309.4278,62.43202717,0.19,0.274,112.7,227.4,209.879
14,n-Pentane,C5H12,l,72.15,469.7,33.7,0.251,0.262,304,-146.8,-8.7
15,argon,Ar,g,39.948,150.8,48.7,-0.004,0.291,74.9,0,0
16,benzene,C6H6,l,78.11,562.1,48.9,0.212,0.271009814,259,49.1,124.5
17,benzene,C6H6,g,78.11,562.1,48.9,0.212,0.271009814,259,82.9,129.7
18,toluene,C7H8,l,92.138,591.7,41.14,0.257,0.264265081,316,12.2,113.6
19,ethanol,C2H6O,l,46.068,516.2,63.83,0.635,0.248526826,167.1,-277.7,-174.8
