no,component-name,component-symbol,id,expr,A,B,C,D,unit,Tmin,Tmax
-,-,-,-,-,-,-,-,-,-,K,K
1,hydrogen,H2,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),2.65E-03,7.45E-01,1.20E+01,0.00E+00,W/m.K,22,1600
2,carbon dioxide,CO2,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),3.69E+00,-3.84E-01,9.64E+02,1.86E+06,W/m.K,194.67,1500
3,water,H2O,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),6.20E-06,1.40E+00,0.00E+00,0.00E+00,W/m.K,273.16,1073.15
4,carbon monoxide,CO,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),5.99E-04,6.86E-01,5.71E+01,5.02E+02,W/m.K,70,1500
5,methanol,CH4O,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),5.80E-07,1.79E+00,0.00E+00,0.00E+00,W/m.K,240,1000
6,dimethyl ether,C2H6O,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),6.00E-02,2.67E-01,1.02E+03,1.10E+06,W/m.K,248.31,1500
7,nitrogen,N2,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),3.31E-04,7.72E-01,1.63E+01,3.74E+02,W/m.K,63.15,2000
8,methane,CH4,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),8.40E-06,1.43E+00,-4.97E+01,0.00E+00,W/m.K,111.63,600
9,ethylene,C2H4,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),8.68E-06,1.46E+00,3.00E+02,-2.94E+01,W/m.K,170,590.92
10,propylene,C3H6,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),4.49E-05,1.20E+00,4.21E+02,0.00E+00,W/m.K,225.45,1000
11,propane,C3H8,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),-1.12E+00,1.10E-01,-9.83E+03,-7.54E+06,W/m.K,231.11,1000
12,butane,C4H10,eq1,C1*(T**C2)/(1 + (C3/T) + C4/(T**2)),5.11E-02,4.53E-01,5.46E+03,1.98E+06,W/m.K,272.65,1000
