no,component-name,component-symbol,id,expr,A,B,C,unit,Tmin,Tmax
-,-,-,-,-,-,-,-,-,K,K
1,formaldehyde,CH2O,eq1,na,9.8573,2204.13,-30.15,mmHg,185,271
2,methane,CH4,eq1,na,8.6041,897.84,-7.16,mmHg,93,120
3,methanol,CH4O,eq1,na,11.9673,3626.55,-34.29,mmHg,257,364
4,acetylene,C2H4,eq1,na,9.7279,1637.14,-19.77,mmHg,194,202
5,acetonitrile,C2H3N,eq1,na,9.6672,2945.47,-49.15,mmHg,260,390
6,ethylene,C2H4,eq1,na,8.9166,1347.01,-18.15,mmHg,120,182
7,acetaldehyde,C2H4O,eq1,na,9.6279,2465.15,-37.15,mmHg,210,320
8,ethylene-oxide,C2H4O,eq1,na,10.1198,2567.61,-29.01,mmHg,300,310
9,acetic-acid,C2H4O2,eq1,na,10.1878,3405.57,-56.34,mmHg,290,430
10,ethane,C2H6,eq1,na,9.0435,1511.42,-17.16,mmHg,130,199
11,ethanol,C2H6O,eq1,na,12.2917,3803.98,-41.68,mmHg,270,369
12,propylene,C3H6,eq1,na,9.0825,1807.53,-26.15,mmHg,160,240
13,acetone,C3H6O,eq1,na,10.0311,2940.46,-35.93,mmHg,241,350
14,propane,C3H8,eq1,na,9.1058,1872.46,-25.16,mmHg,164,249
15,1-propanol,C3H8O,eq1,na,10.9237,3166.38,-80.15,mmHg,285,400
16,"1,3-butadiene",C4H6,eq1,na,9.1525,2142.66,-34.3,mmHg,215,290
17,cis-2-butene,C4H8,eq1,na,9.1969,2210.71,-36.15,mmHg,200,305
18,trans-2-butene,C4H8,eq1,na,9.1975,2212.32,-33.15,mmHg,200,300
19,ethyl-acetate,C4H8O2,eq1,na,9.5314,2790.5,-57.15,mmHg,260,385
20,n-butane,C4H10,eq1,na,9.058,2154.9,-34.42,mmHg,195,290
21,isobutane,C4H10,eq1,na,8.9179,2032.76,-33.15,mmHg,187,280
22,n-butanol,C4H10O,eq1,na,10.5958,3137.02,-94.43,mmHg,288,404
23,1-pentene,C5H10,eq1,na,9.1444,2405.96,-39.63,mmHg,220,325
24,n-pentane,C5H12,eq1,na,9.2131,2477.07,-39.94,mmHg,220,330
25,benzene,C6H6,eq1,na,9.2806,2788.51,-52.36,mmHg,280,377
26,phenol,C6H6O,eq1,na,9.8077,3490.89,-98.59,mmHg,345,481
27,aniline,C6H7N,eq1,na,10.0546,3857.52,-73.15,mmHg,340,500
28,cyclohexane,C6H12,eq1,na,9.1325,2766.63,-50.5,mmHg,280,380
29,1-hexene,C6H12,eq1,na,9.1887,2654.81,-47.3,mmHg,240,360
30,n-hexane,C6H14,eq1,na,9.2164,2697.55,-48.78,mmHg,245,370
31,toluene,C7H8,eq1,na,9.3935,3096.52,-53.67,mmHg,280,410
32,1-heptene,C7H14,eq1,na,9.2692,2895.51,-53.97,mmHg,265,400
33,n-heptane,C7H16,eq1,na,9.2535,2911.32,-56.51,mmHg,270,400
34,styrene,C8H8,eq1,na,9.3991,3328.57,-63.72,mmHg,305,460
35,o-xylene,C8H10,eq1,na,9.4954,3395.57,-59.46,mmHg,305,445
36,m-xylene,C8H10,eq1,na,9.5188,3366.99,-58.04,mmHg,300,440
37,p-xylene,C8H10,eq1,na,9.4761,3346.65,-57.84,mmHg,300,440
38,ethylbenzene,C8H10,eq1,na,9.3993,3279.47,-59.95,mmHg,300,450
39,1-octene,C8H16,eq1,na,9.3428,3116.52,-60.39,mmHg,288,420
40,n-octane,C8H18,eq1,na,9.3224,3120.29,-63.63,mmHg,292,425
41,n-nonane,C9H20,eq1,na,9.3469,3291.45,-71.33,mmHg,312,452
42,naphthalene,C10H8,eq1,na,9.5224,3992.01,-71.29,mmHg,360,545
43,n-decane,C10H22,eq1,na,9.3912,3456.8,-78.67,mmHg,330,476
44,argon,Ar,eq1,na,8.6128,700.51,-5.84,mmHg,81,94
