no,"component name","component symbol","id","Expr","A","B","C","D","unit","Tmin","Tmax"
-,"-","-","-","-","-","-","-","-","-","K","K"
1,"hydrogen","H2","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","1.69E-01","6.92E-01","-7.63E+00","4.67E+02","Pa.s","78.00","3000.00"
2,"carbon dioxide","CO2","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","4.72E+00","3.73E-01","5.13E+02","-6.12E+03","Pa.s","223.00","1473.00"
3,"water","H2O","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","5.01E-01","7.09E-01","8.69E+02","-9.01E+04","Pa.s","278.00","1173.00"
4,"carbon monoxide","CO","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","7.34E-01","5.89E-01","5.23E+01","1.02E+03","Pa.s","68.00","1473.00"
5,"methanol","CH4O","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","4.78E-01","6.41E-01","2.85E+02","-3.23E+03","Pa.s","240.00","1000.00"
6,"dimethyl ether","C2H6O","eq2","2.68e-7*(T**0.3975)/(1+(534/T))","0.00E+00","0.00E+00","0.00E+00","0.00E+00","Pa.s","223.00","1473.00"
7,"nitrogen","N2","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","8.48E-01","5.74E-01","7.54E+01","5.68E+01","Pa.s","73.00","1773.00"
8,"methane","CH4","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","1.12E+00","4.93E-01","2.15E+02","-3.95E+03","Pa.s","93.00","1000.00"
9,"ethylene","C2H4","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","1.50E+00","4.56E-01","2.88E+02","7.34E+01","Pa.s","170.00","1000.00"
10,"propylene","C3H6","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","8.77E-01","5.21E-01","2.94E+02","-1.83E+02","Pa.s","88.00","1000.00"
11,"propane","C3H8","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","1.74E-01","7.35E-01","1.43E+02","-7.15E+03","Pa.s","85.00","1000.00"
12,"butane","C4H10","eq1","A*1e-6*(T**B)/(1+C*(1/T)+D*(T**-2))","7.58E-02","8.37E-01","6.76E+07","-2.14E+03","Pa.s","143.00","963.00"
