Symbol Name MW[g/mol] Tc[K] Pc[bar] w 
CH2O Formaldehyde 30.026 408 65.86 0.253 
CH4 Methane 16.042 190.6 46.00 0.008 
CH4O Methanol 32.042 512.6 80.96 0.559 
C2H4 Acetylene 26.038 308.3 61.40 0.184 
C2H3N Acetonitrile 41.052 548 48.33 0.321 
C2H4 Ethylene 28.053 282.4 50.36 0.085 
C2H4O Acetaldehyde 44.053 461 55.73 0.303 
C2H4O Ethylene-oxide 44.053 469 71.94 0.200 
C2H4O2 Acetic-acid 60.052 594.4 57.86 0.454 
C2H6 Ethane 30.069 305.4 48.74 0.099 
C2H6O Ethanol 46.068 516.2 63.83 0.635 
C3H6 Propylene 42.080 365.0 46.20 0.148 
C3H6O Acetone 58.079 508.1 47.01 0.309 
C3H8 Propane 44.096 370.0 42.44 0.152 
C3H8O 1-Propanol 60.095 536.7 51.68 0.624 
C4H6 1,3-Butadiene 54.090 425 43.27 0.195 
C4H8 cis-2-Butene 56.106 435.6 42.05 0.202 
C4H8 trans-2-Butene 56.106 428.6 41.04 0.214 
C4H8O2 Ethyl-acetate 88.105 523.2 38.30 0.363 
C4H10 n-Butane 58.122 425.2 37.90 0.193 
C4H10 Isobutane 58.122 408.1 36.48 0.176 
C4H10O n-Butanol 74.122 562.9 44.18 0.590 
C5H10 1-Pentene 70.133 464.7 40.53 0.245 
C5H12 n-Pentane 72.149 469.6 33.74 0.251 
C6H6 Benzene 78.112 562.1 48.94 0.212 
C6H6O Phenol 94.111 694.2 61.30 0.440 
C6H7N Aniline 93.127 699 53.09 0.382 
C6H12 Cyclohexane 84.159 553.4 40.73 0.213 
C6H12 1-Hexene 84.159 504.0 31.71 0.285 
C6H14 n-Hexane 86.175 507.4 29.69 0.296 
C7H8 Toluene 92.138 591.7 41.14 0.257 
C7H14 1-Heptene 98.186 537.2 28.37 0.358 
C7H16 n-Heptane 100.202 540.2 27.36 0.351 
C8H8 Styrene 104.149 647.0 39.92 0.257 
C8H10 o-Xylene 106.165 630.2 37.29 0.314 
C8H10 m-Xylene 106.165 617.0 35.46 0.331 
C8H10 p-Xylene 106.165 616.2 35.16 0.324 
C8H10 Ethylbenzene 106.165 617.1 36.07 0.301 
C8H16 1-Octene 112.213 566.6 26.24 0.386 
C8H18 n-Octane 114.229 568.8 24.82 0.394 
C9H20 n-Nonane 128.255 594.6 23.10 0.444 
C10H8 Naphthalene 128.171 748.4 40.53 0.302 
C10H22 n-Decane 142.282 617.6 21.08 0.490 
Ar Argon 39.948 150.8 48.74 -0.004 
BCl3 Boron-trichloride 117.169 451.95 38.71 0.148 
B2H6 Diborane 27.670 289.80 40.50 0.138 
Br2 Bromine 159.808 584 103.35 0.132 
CCl3F Trichlorofluoromethane 137.367 471.2 44.08 0.188 
CF4 Carbontetrafluoride 88.004 227.6 37.39 0.191 
C2F6 Hexafluoroethane 138.012 292.8 30.42 0.255 
CHCl3 Chloroform 119.377 536.4 54.72 0.216 
CO Carbon-monoxide 28.010 132.9 34.96 0.049 
CO2 Carbon-dioxide 44.010 304.2 73.76 0.225 
CS2 Carbon-disulfide 76.143 552 79.03 0.115 
Cl2 Chlorine 70.905 417 77.01 0.073 
F2 Fluorine 37.997 144.3 52.18 0.048 
H2 Hydrogen 2.016 33.2 12.97 -0.22 
HBr Hydrogen-bromide 80.912 363.2 85.52 0.063 
HCN Hydrogen-cyanide 27.025 456.8 53.90 0.407 
HCl Hydrogen-chloride 36.461 324.6 83.09 0.12 
H2O Water 18.015 647.3 220.48 0.344 
H2S Hydrogen-sulfide 34.082 373.2 89.37 0.100 
NH3 Ammonia 17.031 405.6 112.77 0.250 
He Helium-4 4.003 5.19 2.27 -0.387 
HF Hydrogen-fluoride 20.006 461 64.85 0.372 
Kr Krypton 83.800 209.4 55.02 -0.002 
N2 Nitrogen 28.013 126.2 33.84 0.039 
NF3 Nitrogen-trifluoride 71.002 234 45.29 0.132 
N2O Nitrous-oxide 44.013 309.6 72.45 0.160 
NO Nitric-oxide 30.006 180 64.85 0.607 
NO2 Nitrogen-dioxide 46.006 431.4 101.33 0.86 
Ne Neon 20.180 44.4 27.56 0.00 
O2 Oxygen 31.999 154.6 50.46 0.021 
PH3 Phosphene 33.998 324.45 65.35 0.042 
SF6 Sulfur-hexafluoride 146.056 318.7 37.59 0.286 
SO2 Sulfur-dioxide 64.065 430.8 78.83 0.251 
SO3 Sulfur-trioxide 80.064 491.0 82.07 0.41 
SiCl3H Trichlorosilane 135.452 479.0 41.7 0.203 
SiCl4 Silicon-tetrachloride 169.896 507.0 37.49 0.264 
SiF4 Silicontetrafluoride 104.079 259.09 37.15 0.456 
SiH4 Silane 32.117 269.69 48.43 0.089 
WF6 Tungsten-hexafluoride 297.830 444.0 43.40 0.231 
