no,T,P,x1,y1
-,K,Pa,-,-
1,303.15,3770,0,0
2,303.15,5050,0.0199,0.2671
3,303.15,6150,0.0399,0.409
4,303.15,7220,0.0601,0.5061
5,303.15,8290,0.0799,0.5783
6,303.15,10600,0.1192,0.6847
7,303.15,12160,0.1694,0.7346
8,303.15,14070,0.2294,0.7822
9,303.15,15620,0.2891,0.8133
10,303.15,16810,0.3495,0.8343
11,303.15,17910,0.409,0.8524
12,303.15,18770,0.4708,0.8659
13,303.15,19510,0.5296,0.8774
14,303.15,20230,0.5902,0.889
15,303.15,20710,0.6505,0.8974
16,303.15,21350,0.7101,0.9093
17,303.15,21920,0.7685,0.9209
18,303.15,22620,0.83,0.9372
19,303.15,23200,0.8803,0.9521
20,303.15,23590,0.9179,0.9637
21,303.15,23800,0.9397,0.9709
22,303.15,23990,0.9581,0.9785
23,303.15,24190,0.9804,0.9885
24,303.15,24360,1,1
